序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額
28,西班牙,桃子樹的最後豐收,2023/3/31,海鵬影業有限公司,MK2 FILMS,5,65,-69.05%,"14,180","1,524",314873 
29,日本,魔女宅急便,2023/3/31,香港商甲上娛樂有限公司台灣分公司,Studio Ghibli Inc.,28,992,-55.19%,"239,460","18,622",4592549 
30,美國,龍與地下城：盜賊榮耀,2023/3/29,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,97,"30,822",-42.32%,"7,830,731","323,658",84722351 
31,法國,唐璜羅曼死,2023/3/27,海鵬影業有限公司,MK2 FILMS,8,55,-70.27%,"11,090",654,135947 
32,法國,小淘氣尼古拉：快樂的源頭,2023/3/26,捷傑有限公司,CHARADES,13,280,-20.90%,"63,720",747,170163 
33,加拿大,長春事件,2023/3/26,佳映娛樂國際股份有限公司,Sideways Film Ltd,13,714,-45.29%,"151,470","3,209",699775 
34,法國,販愛天堂,2023/3/24,原創娛樂股份有限公司,"PATHE FILMS S.A.S,ORANGE STUDIO S.A",1,5,400.00%,830,831,175261 
35,香港,毒舌大狀,2023/3/24,華映國際文創股份有限公司,"安樂影片有限公司,萬誘引力乙有限公司,阿里巴巴影業娛樂傳媒有限公司,香港電影發展基金",8,517,-32.94%,"128,226","5,316",1292746 
36,日本,艾莉絲旅館,2023/3/24,車庫娛樂股份有限公司,RELAY MOTION KFT.,1,31,0.00%,"6,820",366,78610 
37,中華民國,守護黑面琵鷺,2023/3/24,采昌國際多媒體股份有限公司,鴻奇文化事業有限公司,11,"1,571",-16.48%,"332,150","10,155",2095958 
38,日本,名偵探柯南 灰原哀物語〜黑鐵的神祕列車〜,2023/3/24,曼迪傳播有限公司,YOMIURI TELECASTING CORPORATION,31,"2,349",-41.76%,"593,835","53,871",13491042 
39,美國,捍衛任務4,2023/3/22,車庫娛樂股份有限公司,RELAY MOTION KFT.,74,"38,967",-39.25%,"10,473,119","801,896",214437528 
40,香港,流水落花,2023/3/17,香港商甲上娛樂有限公司台灣分公司,流水落花製作有限公司,2,4,400.00%,880,769,178442 
41,美國,致蕾絲莉,2023/3/17,光年映畫有限公司,GEM Entertainment Kft.,3,22,-66.15%,"5,040","1,824",387070 
42,美國,噩夢輓歌 4K數位修復版,2023/3/17,車庫娛樂股份有限公司,RELAY MOTION KFT.,1,11,57.14%,"3,040",856,210402 
43,美國,沙贊！眾神之怒,2023/3/16,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,15,329,-59.43%,"78,385","121,498",30945878 
44,南韓,超完美狗保姆,2023/3/10,采昌國際多媒體股份有限公司,Atrium Productions Kft.,1,1,-80.00%,320,"4,188",992165 
45,中華民國,黑的教育,2023/3/10,禾豐九路娛樂有限公司,禾豐九路娛樂有限公司##麻吉砥加電影有限公司##岸上影像有限公司,1,11,-82.54%,"2,600","33,005",7949340 
46,中華民國,本日公休,2023/3/3,威視股份有限公司,"伯樂影業股份有限公司 ,華文創股份有限公司 ,有余企劃製作有限公司 ,得利影視股份有限公司 ,中環國際娛樂事業股份有限公司 ,意妍堂製作股份有限公司",10,252,-59.81%,"58,195","65,810",15046371 
47,義大利,配樂大師顏尼歐,2023/2/27,海鵬影業有限公司,Piano B Prosuzioni s.r.l.,8,218,-50.23%,"48,265","6,308",1545104 
48,日本,鈴芽之旅,2023/2/25,車庫娛樂股份有限公司,"TOHO CO., LTD.",73,"22,639",-26.88%,"6,065,040","900,411",235414003 
49,馬來西亞,孩子， 你好嗎 ?  山頂小屋,2023/2/25,香港商甲上娛樂有限公司台灣分公司,小黃花慈善基金Little Yellow Flower Foundation,1,31,-81.33%,"6,820",907,173200 
50,馬來西亞,孩子， 你好嗎 ? 我的名字叫李心潔,2023/2/25,香港商甲上娛樂有限公司台灣分公司,小黃花慈善基金Little Yellow Flower Foundation,1,31,-80.50%,"6,820","1,528",288120 
51,美國,TÁR 塔爾,2023/2/25,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,6,266,-37.41%,"66,165","12,831",3229771 
52,美國,人肉搜索2：失蹤搜救,2023/2/24,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,3,324,671.43%,"28,065","27,423",6642663 
53,俄羅斯,胡桃鉗與魔笛公主的奇幻冒險,2023/2/24,希望影視行銷股份有限公司,Luminescence Kft.,1,6,200.00%,"1,290","9,042",2127261 
54,香港,風再起時,2023/2/21,華映國際文創股份有限公司,"大地時代文化傳播（北京）有限公司,美亞電影製作有限公司,大地電影發行（香港）有限公司,美亞長城傳媒（北京）有限公司,博納影業集團股份有限公司,北京拉近影業有限公司,高寶集團影視有限公司,天津貓眼微影文化傳媒有限公司,大地時代文化傳播（天津）有限公司,美亞娛樂發展股份有限公司,上海博納文化傳媒有限公司,北京影聯影業有限公司,中銘盛世（深圳）影業集團有限公司,高益創新投資公共有限公司",2,259,36.32%,"16,185","15,852",3644687 
55,美國,蟻人與黃蜂女 : 量子狂熱,2023/2/15,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",1,4,-90.91%,"1,190","479,942",128016982 
